iter	Logloss
233	0.653597149
234	0.6535802284
235	0.6535556317
236	0.6535126701
237	0.6534916639
238	0.6534642196
239	0.6534108167
240	0.6533818867
241	0.6533484584
242	0.6533016999
243	0.6532661668
244	0.6532371955
245	0.6531975354
246	0.6531623325
247	0.653126593
248	0.6530937011
249	0.6530440538
250	0.652979632
251	0.6529242482
252	0.6528957309
253	0.6528677088
254	0.6528335376
255	0.652806052
256	0.6527725411
257	0.6527293731
258	0.6527144335
259	0.6526749798
260	0.6526429133
261	0.6526160881
262	0.6525757264
263	0.6525397806
264	0.6525032157
265	0.6524726762
266	0.6524242257
267	0.6523882386
268	0.6523541087
269	0.6523065661
270	0.6522859313
271	0.6522510172
272	0.6522246872
273	0.6521879985
274	0.6521638971
275	0.652122545
276	0.652098361
277	0.6520788817
278	0.6520335264
279	0.6519974155
280	0.651966257
281	0.6519242445
282	0.6519043113
283	0.6518522291
284	0.6518255277
285	0.6517956072
286	0.6517783565
287	0.651757763
288	0.6517342806
289	0.6517169061
290	0.6516914015
291	0.6516691984
292	0.6516361827
293	0.6516153416
294	0.6515897132
295	0.6515598753
296	0.6515364754
297	0.6514990026
298	0.6514789456
299	0.6514571552
300	0.6514380474
301	0.6514172475
302	0.6513969429
303	0.6513419718
304	0.651323029
305	0.6513095339
306	0.6512353724
307	0.6512083821
308	0.6511701252
309	0.6511326111
310	0.6510942716
311	0.651071821
312	0.6510456973
313	0.6510274562
314	0.651008142
315	0.6509979071
316	0.6509704216
317	0.6509472281
318	0.6509211457
319	0.6508877586
320	0.650845416
321	0.6507791783
322	0.6507583784
323	0.6507424071
324	0.6507199564
325	0.6506957311
326	0.6506504584
327	0.6506240871
328	0.6505875223
329	0.6505646589
330	0.6505338305
331	0.6505067576
332	0.6504617738
333	0.6504330501
334	0.6503891806
335	0.6503605807
336	0.650335365
337	0.6503178667
338	0.6502943843
339	0.6502596353
340	0.6502356577
341	0.6502174165
342	0.650187496
343	0.6501528296
344	0.6501295535
345	0.6501007061
346	0.650069465
347	0.6500389668
348	0.6500181669
349	0.6499920432
350	0.6499650942
351	0.6499343071
352	0.6499124754
353	0.6498657583
354	0.6498197014
355	0.6497881301
356	0.6497566414
357	0.6497136385
358	0.6496972958
359	0.6496716261
360	0.6496467818
361	0.6496240835
362	0.649601963
363	0.6495727854
364	0.6495548744
365	0.6495248301
366	0.64949557
367	0.6494535575
368	0.6494334179
369	0.649404653
370	0.6493784468
371	0.6493384153
372	0.6493198853
373	0.6493000759
374	0.6492649142
375	0.6492456413
376	0.6491901337
377	0.6491623592
378	0.6491179119
379	0.649089312
380	0.6490506424
381	0.6490304203
382	0.6490059474
383	0.6489853952
384	0.6489657096
385	0.6489344272
386	0.6489042179
387	0.6488735133
388	0.6488518468
389	0.6488167263
390	0.6487955138
391	0.6487650981
392	0.6487387268
393	0.6487061238
394	0.6486862731
395	0.6486637812
396	0.6486457051
397	0.648622718
398	0.648596553
399	0.6485642802
